Titre;Identifiant unique;Date de sortie;;Développeur;Editeur;Genres;Franchise;Note Moyenne;Plateformes
Hauntii;https://www.grouvee.com/games/100013-hauntii/;May 23, 2024;;Moonloop Games;Firestoke;Action-Adventure;;3.11;Mac, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Apollo Justice: Ace Attorney Trilogy;https://www.grouvee.com/games/97155-apollo-justice-ace-attorney-trilogy/;Jan 25, 2024;;Capcom;Capcom;Adventure , Compilation;Ace Attorney;4.11;Nintendo Switch, PC, PlayStation 4, Xbox One
South Park: Snow Day;https://www.grouvee.com/games/97647-south-park-snow-day/;Mar 26, 2024;;Question Games;Nordic Games Publishing AB;Action;South Park;1.78;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S
Arranger: A Role-Puzzling Adventure;https://www.grouvee.com/games/100348-arranger-a-role-puzzling-adventure/;Jul 25, 2024;;Furniture & Mattress;Furniture & Mattress;Puzzle , Role-Playing;;3.22;PC
Ravenswatch;https://www.grouvee.com/games/93655-ravenswatch/;Sep 26, 2024;;Passtech Games;Bigben Interactive GmbH;Action;;3.61;PC, PlayStation 5, Xbox Series X|S
Metal Slug Tactics;https://www.grouvee.com/games/88102-metal-slug-tactics/;Nov 5, 2024;;DotEmu , Leikir Studio;DotEmu , Gamera Game , SNK Playmore;Strategy;Metal Slug;3.33;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
No Rest for the Wicked;https://www.grouvee.com/games/98519-no-rest-for-the-wicked/;Apr 18, 2024;;Moon Studios;Private Division;Action , Role-Playing;;3.53;PC, PlayStation 5, Xbox Series X|S
Gestalt: Steam & Cinder;https://www.grouvee.com/games/82969-gestalt-steam-cinder/;Jul 16, 2024;;Metamorphosis Games;Sold Out;Action , Platformer;;3.53;Nintendo Switch, PC
Visions of Mana;https://www.grouvee.com/games/98522-visions-of-mana/;Aug 29, 2024;;;Square Enix;Role-Playing;World of Mana;3.71;PC, PlayStation 4, PlayStation 5, Xbox Series X|S
Romancing SaGa 2: Revenge of the Seven;https://www.grouvee.com/games/100417-romancing-saga-2-revenge-of-the-seven/;Oct 24, 2024;;Square Enix , xeen Inc.;Square Enix;Role-Playing;SaGa;4.24;Nintendo Switch, PC, PlayStation 4, PlayStation 5
Anomaly Agent;https://www.grouvee.com/games/98676-anomaly-agent/;Jan 24, 2024;;;;Action;;3.81;PC
Arzette: The Jewel of Faramore;https://www.grouvee.com/games/97466-arzette-the-jewel-of-faramore/;Feb 14, 2024;;Seedy Eye Software;Limited Run Games;Action-Adventure , Platformer;;3.38;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox Series X|S
Minami Lane;https://www.grouvee.com/games/99269-minami-lane/;Feb 28, 2024;;Blibloop , Doot;Doot;Simulation;;3.94;Linux, Mac, PC
The Operator;https://www.grouvee.com/games/100508-the-operator/;Jul 22, 2024;;Bureau 81;Bureau 81 , indienova;Adventure , Simulation;;3.94;Linux, Mac, PC
Arco;https://www.grouvee.com/games/100323-arco/;Aug 15, 2024;;Bibiki , Franek , Fáyer , Max Cahill;Panic;Role-Playing , Strategy;;3.75;Mac, Nintendo Switch, PC
Dead Rising Deluxe Remaster;https://www.grouvee.com/games/100581-dead-rising-deluxe-remaster/;Sep 19, 2024;;Capcom;Capcom;Action;Dead Rising;3.88;PC, PlayStation 5, Xbox Series X|S
Webfishing;https://www.grouvee.com/games/101920-webfishing/;Oct 11, 2024;;lamedeveloper;lamedeveloper;Fishing , Simulation;;3.50;PC
AFK Journey;https://www.grouvee.com/games/99616-afk-journey/;Mar 27, 2024;;Farlight Games Industry , Lilith Games;Farlight Games Industry;Adventure , Role-Playing , Strategy;;3.67;Android, PC, iPad, iPhone
Rabbit and Steel;https://www.grouvee.com/games/96898-rabbit-and-steel/;May 9, 2024;;mino_dev LLC;mino_dev LLC;Action , Shoot 'Em Up;;4.07;PC
Fields of Mistria;https://www.grouvee.com/games/97103-fields-of-mistria/;Aug 5, 2024;;NPC Studio;NPC Studio;Role-Playing , Simulation;;4.53;PC
Dustborn;https://www.grouvee.com/games/83099-dustborn/;Aug 20, 2024;;Red Thread Games;Red Thread Games;Action , Adventure , Music/Rhythm;;1.80;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Ace Attorney Investigations Collection;https://www.grouvee.com/games/100416-ace-attorney-investigations-collection/;Sep 6, 2024;;Capcom;Capcom;Adventure , Compilation;Ace Attorney;4.60;Nintendo Switch, PC, PlayStation 4, Xbox One
Caravan SandWitch;https://www.grouvee.com/games/100215-caravan-sandwitch/;Sep 12, 2024;;Studio Plane Toast;Dear Villagers;Adventure;;3.73;PC
Go Mecha Ball;https://www.grouvee.com/games/98576-go-mecha-ball/;Jan 25, 2024;;Whale Peak Games;Super Rare Games;Action , Action-Adventure , Shoot 'Em Up , Shooter;;3.00;PC, Xbox One, Xbox Series X|S
Sand Land;https://www.grouvee.com/games/97088-sand-land/;Apr 25, 2024;;ILCA;Namco Bandai Games Inc.;Action-Adventure;;2.93;PC, PlayStation 4, PlayStation 5, Xbox Series X|S
Arctic Eggs;https://www.grouvee.com/games/100733-arctic-eggs/;May 16, 2024;;;Critical Reflex;Simulation;;3.93;PC
Tiny Terry's Turbo Trip;https://www.grouvee.com/games/97259-tiny-terrys-turbo-trip/;May 30, 2024;;snekflat;Super Rare Games;Adventure , Role-Playing;;3.79;PC
Five Nights at Freddy's: Into the Pit;https://www.grouvee.com/games/100107-five-nights-at-freddys-into-the-pit/;Aug 8, 2024;;Mega Cat Studios;Mega Cat Studios;Adventure;Five Nights at Freddy's;3.71;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Concord;https://www.grouvee.com/games/96945-concord/;Aug 23, 2024;;Firewalk Studios , PlayStation Studios;PlayStation Publishing LLC , Sony Computer Entertainment America;First-Person Shooter;;2.21;PC, PlayStation 5
TCG Card Shop Simulator;https://www.grouvee.com/games/101541-tcg-card-shop-simulator/;Sep 15, 2024;;OPNeon Games;OPNeon Games;Simulation;;3.14;PC
Echo Point Nova;https://www.grouvee.com/games/100827-echo-point-nova/;Sep 24, 2024;;Greylock Studio;Greylock Studio;Shooter;;4.00;PC
Slitterhead;https://www.grouvee.com/games/90077-slitterhead/;Nov 8, 2024;;Bokeh Game Studio;Bokeh Game Studio;Action-Adventure;;3.43;PC, PlayStation 4, PlayStation 5, Xbox Series X|S
Poppy Playtime - Chapter 3;https://www.grouvee.com/games/99061-poppy-playtime-chapter-3/;dimanche 16 juillet 1905;;;;;;3.46;PC
MLB The Show 24;https://www.grouvee.com/games/98973-mlb-the-show-24/;Mar 19, 2024;;SCE Studios San Diego;MLB.com , Sony Computer Entertainment America;Baseball;MLB , MLB: The Show;3.31;Nintendo Switch, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Yellow Taxi Goes Vroom;https://www.grouvee.com/games/99346-yellow-taxi-goes-vroom/;Apr 9, 2024;;Panik Arcade;Those Awesome Guys;Platformer;;3.85;PC
Isles of Sea and Sky;https://www.grouvee.com/games/81799-isles-of-sea-and-sky/;May 22, 2024;;Jason Newman;Jason Newman;Puzzle;;3.92;Linux, Mac, Nintendo Switch, PC
Flock;https://www.grouvee.com/games/100814-flock/;Jul 16, 2024;;Hollow Ponds , Richard Hogg;Annapurna Interactive;Adventure;;3.23;Mac, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Bo: Path of the Teal Lotus;https://www.grouvee.com/games/91398-bo-path-of-the-teal-lotus/;Jul 17, 2024;;Christopher Stair , Trevor Youngquist;Squid Shock Studios;Action , Action-Adventure;;4.08;Nintendo Switch, PC
Sorry We're Closed;https://www.grouvee.com/games/100440-sorry-were-closed/;Nov 14, 2024;;à la mode games;Akupara Games;Horror;;3.92;PC
Hollowbody;https://www.grouvee.com/games/94242-hollowbody/;dimanche 16 juillet 1905;;Headware Games;Headware Games;Action-Adventure;;2.58;PC
The Wolf Among Us: Season 2;https://www.grouvee.com/games/58407-the-wolf-among-us-season-2/;dimanche 16 juillet 1905;;AdHoc Studio , Telltale Games;Telltale Games;Adventure;The Wolf Among Us;4.08;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Rental;https://www.grouvee.com/games/99702-rental/;Mar 7, 2024;;;;Adventure , Horror;;3.00;PC
Riven;https://www.grouvee.com/games/95010-riven/;Jun 25, 2024;;Cyan Worlds, Inc.;Cyan Worlds, Inc.;Adventure , Puzzle;Myst;4.67;Mac, Meta Quest, PC
Conscript;https://www.grouvee.com/games/83471-conscript/;Jul 23, 2024;;Catchweight Studio , Jordan Mochi;Catchweight Studio , Team17 Software Limited;Action-Adventure , Puzzle;;3.67;PC
Castlevania Dominus Collection;https://www.grouvee.com/games/101129-castlevania-dominus-collection/;Aug 27, 2024;;Konami Corporation;Konami Corporation;Action-Adventure , Compilation;Castlevania;4.50;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S
Gori: Cuddly Carnage;https://www.grouvee.com/games/82977-gori-cuddly-carnage/;Aug 29, 2024;;Angry Demon Studio;Angry Demon Studio , Wired Productions;Action-Adventure;;3.17;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
I Am Your Beast;https://www.grouvee.com/games/100199-i-am-your-beast/;Sep 10, 2024;;Strange Scaffold;Strange Scaffold , The Frosty Pop Corps Inc.;Shooter;;4.08;PC
Bloomtown: A Different Story;https://www.grouvee.com/games/97172-bloomtown-a-different-story/;Sep 24, 2024;;Different Sense Games , Lazy Bear Games;Asmodee Digital;Role-Playing;;3.08;PC
Awaria;https://www.grouvee.com/games/102361-awaria/;Dec 16, 2024;;vanripper;vanripper;Action;;3.75;PC
Boxes: Lost Fragments;https://www.grouvee.com/games/99618-boxes-lost-fragments/;Feb 1, 2024;;Big Loop Studios;Snapbreak;Puzzle;;3.36;Android, PC, iPhone
Splatoon 3: Side Order;https://www.grouvee.com/games/101879-splatoon-3-side-order/;Feb 22, 2024;;Nintendo EPD;Nintendo;Shooter;Splatoon;4.00;Nintendo Switch
#BLUD;https://www.grouvee.com/games/100423-blud/;Jun 18, 2024;;Exit 73 Studios;Humble Games;Action-Adventure , Role-Playing;;2.45;PC
Schim;https://www.grouvee.com/games/86447-schim/;Jul 18, 2024;;Ewoud Van Der Werf;Extra Nice;Platformer;;2.36;Linux, Mac, PC, PlayStation 4, PlayStation 5
Doom + Doom II;https://www.grouvee.com/games/100984-doom-doom-ii/;Aug 8, 2024;;MachineGames , Night Dive Studios , id Software;Bethesda Softworks;First-Person Shooter;Doom;4.45;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Shadow of the Ninja - Reborn;https://www.grouvee.com/games/97564-shadow-of-the-ninja-reborn/;Aug 29, 2024;;Tengo Project;Natsume Atari;Action;Shadow of the Ninja;3.73;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox Series X|S
Squirrel with a Gun;https://www.grouvee.com/games/94058-squirrel-with-a-gun/;Aug 29, 2024;;Daniel DeEntremont;Daniel DeEntremont , Modus Games;Platformer , Shooter;;3.09;PC, PlayStation 5, Xbox Series X|S
Ara: History Untold;https://www.grouvee.com/games/93239-ara-history-untold/;Sep 24, 2024;;Oxide Games;Microsoft Studios;Strategy;;2.45;PC
Loco Motive;https://www.grouvee.com/games/90166-loco-motive/;Nov 21, 2024;;Robust Games;Chucklefish Games;Adventure , Puzzle;;3.09;Mac, Nintendo Switch, PC
Mighty Morphin Power Rangers: Rita's Rewind;https://www.grouvee.com/games/100124-mighty-morphin-power-rangers-ritas-rewind/;Dec 10, 2024;;Digital Eclipse Software, Inc.;Hasbro;Brawler;Power Rangers;3.64;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Creatures of Ava;https://www.grouvee.com/games/100112-creatures-of-ava/;dimanche 16 juillet 1905;;Inverge Studios;11 Bit Studios;Action-Adventure;;3.40;PC
Gundam Breaker 4;https://www.grouvee.com/games/99129-gundam-breaker-4/;dimanche 16 juillet 1905;;;Namco Bandai Games Inc.;Action;Gundam , Gundam Breaker;3.70;Nintendo Switch, PC, PlayStation 4, PlayStation 5
Paleo Pines;https://www.grouvee.com/games/97198-paleo-pines/;dimanche 16 juillet 1905;;Ritual Studios;Playdigious;Simulation;;4.00;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Star Wars: Battlefront Classic Collection;https://www.grouvee.com/games/99122-star-wars-battlefront-classic-collection/;Mar 14, 2024;;Aspyr Media, Inc. , Pandemic Studios;Aspyr Media, Inc.;Compilation;Star Wars , Star Wars: Battlefront;2.80;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Doronko Wanko;https://www.grouvee.com/games/99587-doronko-wanko/;Mar 26, 2024;;Bandai Namco Entertainment;Phoenixx;Action;;3.70;PC
Biomorph;https://www.grouvee.com/games/99339-biomorph/;Apr 5, 2024;;Lucid Dreams Studio;Lucid Dreams Studio;Action-Adventure , Platformer;;3.40;PC
Withering Rooms;https://www.grouvee.com/games/99593-withering-rooms/;Apr 5, 2024;;Moonless Formless;Perp Games;Action , Role-Playing;;4.10;PC
Paper Trail;https://www.grouvee.com/games/97209-paper-trail/;May 21, 2024;;Newfangled Games;Newfangled Games;Adventure , Puzzle;;3.30;Android, Mac, PC, iPhone
Leap Year;https://www.grouvee.com/games/100805-leap-year/;Jun 14, 2024;;;;Adventure , Platformer;;4.00;PC
Super Monkey Ball: Banana Rumble;https://www.grouvee.com/games/99900-super-monkey-ball-banana-rumble/;Jun 25, 2024;;;Sega;Action;Super Monkey Ball;3.70;Nintendo Switch
The Crimson Diamond;https://www.grouvee.com/games/101040-the-crimson-diamond/;Aug 15, 2024;;Julia Minamata;Julia Minamata;Adventure;;4.00;PC
Garden of the Sea;https://www.grouvee.com/games/76681-garden-of-the-sea/;Oct 15, 2024;;Neat Corporation;Neat Corporation;Simulation;;3.00;Nintendo Switch, PC
Liar's Bar;https://www.grouvee.com/games/101596-liars-bar/;Oct 2, 2024;;Curve Animation;Curve Animation;Strategy;;3.20;PC
A Quiet Place: The Road Ahead;https://www.grouvee.com/games/89753-a-quiet-place-the-road-ahead/;Oct 17, 2024;;EP1T0ME , Stormind Games , iLLOGIKA;Saber Interactive;Adventure;;3.40;PC, PlayStation 5, Xbox Series X|S
Rivals of Aether II;https://www.grouvee.com/games/91891-rivals-of-aether-ii/;Oct 23, 2024;;Dan Fornace;Offbrand Games;Fighting;Rivals of Aether;3.40;PC
Mind Over Magnet;https://www.grouvee.com/games/101809-mind-over-magnet/;Nov 13, 2024;;;;Platformer , Puzzle;;3.60;PC
Fantasian Neo Dimension;https://www.grouvee.com/games/100424-fantasian-neo-dimension/;Dec 31, 2024;;Mistwalker Corporation;Square Enix;Role-Playing;Fantasian;4.00;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox Series X|S
While We Wait Here;https://www.grouvee.com/games/101416-while-we-wait-here/;dimanche 16 juillet 1905;;Bad Vices Games;Bad Vices Games;Adventure , Horror , Simulation;;3.67;PC
Windblown;https://www.grouvee.com/games/98515-windblown/;dimanche 16 juillet 1905;;Motion Twin;Kepler Interactive , Motion Twin;Action;;3.67;PC
The Last Flame;https://www.grouvee.com/games/99925-the-last-flame/;Jan 16, 2024;;;;Role-Playing , Strategy;;3.22;PC
King of the Bridge;https://www.grouvee.com/games/99574-king-of-the-bridge/;Mar 8, 2024;;;;Puzzle;;2.89;PC
Saviorless;https://www.grouvee.com/games/99447-saviorless/;Apr 2, 2024;;;Dear Villagers;Platformer;;2.89;Linux, Mac, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Fallen Aces;https://www.grouvee.com/games/88222-fallen-aces/;Jun 14, 2024;;Jason Bond , Trey Powell;New Blood Interactive;Brawler , First-Person Shooter;;3.56;PC
Dungeonborne;https://www.grouvee.com/games/98954-dungeonborne/;Jul 19, 2024;;Mithril Interactive;Mithril Interactive;Action , Role-Playing;;3.22;PC
Fallout London;https://www.grouvee.com/games/101020-fallout-london/;dimanche 16 juillet 1905;;;;;;3.44;PC
Cygni: All Guns Blazing;https://www.grouvee.com/games/81979-cygni-all-guns-blazing/;Aug 6, 2024;;KeelWorks , KeelWorks;KeelWorks , Konami Corporation;Shoot 'Em Up;;2.78;PC, PlayStation 5, Xbox Series X|S
Crime Scene Cleaner;https://www.grouvee.com/games/101031-crime-scene-cleaner/;Aug 14, 2024;;;PlayWay;Simulation;;3.67;PC
Marvel vs Capcom Fighting Collection - Arcade Classics;https://www.grouvee.com/games/100414-marvel-vs-capcom-fighting-collection-arcade-classics/;Sep 11, 2024;;Capcom;Capcom;Compilation;Capcom Collection , Marvel , Marvel vs. Capcom;4.56;Nintendo Switch, PC, PlayStation 4, Xbox One
Wild Bastards;https://www.grouvee.com/games/98672-wild-bastards/;Sep 12, 2024;;Blue Manchu;Modus Games;First-Person Shooter;Bastards;3.22;PC
Enotria The Last Song;https://www.grouvee.com/games/96284-enotria-the-last-song/;Sep 19, 2024;;Jyamma Games;Jyamma Games;Action , Role-Playing;;2.89;PC, PlayStation 5, Xbox Series X|S
Lorn's Lure;https://www.grouvee.com/games/86515-lorns-lure/;Sep 20, 2024;;Rubeki Games;Rubeki Games;Platformer;;3.78;PC
Rogue Waters;https://www.grouvee.com/games/101582-rogue-waters/;Sep 30, 2024;;Ice Code Games;Tripwire Presents;Strategy;;2.89;PC
MechWarrior 5: Clans;https://www.grouvee.com/games/101716-mechwarrior-5-clans/;Oct 16, 2024;;Piranha Games;Piranha Games;Action , First-Person Shooter , Shooter , Simulation , Vehicular Combat;MechWarrior;3.44;Mac, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Microsoft Flight Simulator 2024;https://www.grouvee.com/games/97138-microsoft-flight-simulator-2024/;Nov 19, 2024;;Asobo Studio , Microsoft Studios;Microsoft Studios;Flight Simulator;Flight Simulator;3.22;PC, Xbox Series X|S
TEST TEST TEST;https://www.grouvee.com/games/100722-test-test-test/;Jan 17, 2024;;Mojiken Studio;Toge Productions;Adventure , Puzzle;;3.63;PC
The Cub;https://www.grouvee.com/games/93234-the-cub/;Jan 19, 2024;;Demagog Studio;Gamersky , Untold Tales;Action , Platformer;;3.50;PC
Under Night In-Birth II: Sys:Celes;https://www.grouvee.com/games/96788-under-night-in-birth-ii-sysceles/;Jan 24, 2024;;Soft Circle French-Bread;Arc System Works Co., Ltd.;Fighting;Under Night In-Birth;4.25;Nintendo Switch, PC, PlayStation 4, PlayStation 5
Berserk Boy;https://www.grouvee.com/games/89418-berserk-boy/;Mar 6, 2024;;BerserkBoy Games;Big Sugar;Action , Platformer;;3.50;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Abiotic Factor;https://www.grouvee.com/games/94657-abiotic-factor/;May 2, 2024;;Deep Field Games;PlayStack;Action-Adventure;;4.25;PC
The WereCleaner;https://www.grouvee.com/games/99912-the-werecleaner/;May 7, 2024;;;USC Interactive Media;Strategy;;3.88;PC
Rolling Hills: Make Sushi, Make Friends;https://www.grouvee.com/games/80757-rolling-hills-make-sushi-make-friends/;Jun 4, 2024;;Catch & Release, LLC;Catch & Release, LLC;Role-Playing , Simulation;;2.50;PC
The Star Named Eos;https://www.grouvee.com/games/100279-the-star-named-eos/;Jul 23, 2024;;Silver Lining Studio;Playism;Adventure , Puzzle;;3.88;Mac, PC
Kingdom Rush 5: Alliance TD;https://www.grouvee.com/games/100957-kingdom-rush-5-alliance-td/;Jul 25, 2024;;Ironhide Games Studio;Ironhide Games Studio;Strategy;Kingdom Rush;3.63;PC
Star Trucker;https://www.grouvee.com/games/97117-star-trucker/;Sep 3, 2024;;Monster and Monster;Raw Fury;Simulation;;2.38;PC
NBA 2K25;https://www.grouvee.com/games/100714-nba-2k25/;Sep 6, 2024;;Visual Concepts;2K Games;Basketball;NBA , NBA 2K;3.38;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Batman: Arkham Shadow;https://www.grouvee.com/games/99775-batman-arkham-shadow/;Oct 21, 2024;;Camouflaj , Oculus Studios;WB Games;;Batman , Batman: Arkham Asylum , DC Universe;4.13;Meta Quest
Kill Knight;https://www.grouvee.com/games/101626-kill-knight/;Oct 2, 2024;;PlaySide;PlaySide;Dual-Joystick Shooter;;3.25;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Unknown 9: Awakening;https://www.grouvee.com/games/84767-unknown-9-awakening/;Oct 17, 2024;;Reflector;Namco Bandai Games Inc.;Action-Adventure;;2.50;Mac, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Tetris Forever;https://www.grouvee.com/games/101126-tetris-forever/;Nov 12, 2024;;Digital Eclipse Software, Inc.;Digital Eclipse Software, Inc.;Compilation , Puzzle;Gold Master Series , Tetris;4.13;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Bandle Tale: A League of Legends Story;https://www.grouvee.com/games/97873-bandle-tale-a-league-of-legends-story/;dimanche 16 juillet 1905;;;Riot Games;;League of Legends;2.86;Nintendo Switch
Summerhouse;https://www.grouvee.com/games/98754-summerhouse/;dimanche 16 juillet 1905;;Friedemann;Future Friends Games;Simulation , Strategy;;3.14;PC
Jujutsu Kaisen: Cursed Clash;https://www.grouvee.com/games/97384-jujutsu-kaisen-cursed-clash/;Feb 1, 2024;;Byking;Namco Bandai Games Inc.;Fighting;;1.86;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Dicefolk;https://www.grouvee.com/games/96921-dicefolk/;Feb 27, 2024;;LEAP Game Studios , Tiny Ghoul;Gambitious;Strategy;;3.00;Nintendo Switch, PC
Llamasoft: The Jeff Minter Story;https://www.grouvee.com/games/98751-llamasoft-the-jeff-minter-story/;Mar 13, 2024;;Digital Eclipse Software, Inc. , Llamasoft Ltd.;Digital Eclipse Software, Inc.;Compilation;Gold Master Series;3.86;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
